disease,symptom_1,symptom_2,symptom_3,symptom_4
thủy đậu,chán ăn,nổi mụt trên cơ thể,sưng hạch bạch huyết,đau đầu
thủy đậu,sưng hạch bạch huyết,đau đầu,chán ăn,nổi mụt trên cơ thể
thủy đậu,sưng hạch bạch huyết,đau đầu,nổi mụt trên cơ thể,chán ăn
thủy đậu,sưng hạch bạch huyết,chán ăn,đau đầu,nổi mụt trên cơ thể
thủy đậu,sưng hạch bạch huyết,chán ăn,nổi mụt trên cơ thể,đau đầu
thủy đậu,sưng hạch bạch huyết,nổi mụt trên cơ thể,đau đầu,chán ăn
thủy đậu,sưng hạch bạch huyết,nổi mụt trên cơ thể,chán ăn,đau đầu
thủy đậu,nổi mụt trên cơ thể,đau đầu,chán ăn,sưng hạch bạch huyết
thủy đậu,nổi mụt trên cơ thể,đau đầu,sưng hạch bạch huyết,chán ăn
thủy đậu,nổi mụt trên cơ thể,chán ăn,đau đầu,sưng hạch bạch huyết
thủy đậu,nổi mụt trên cơ thể,chán ăn,sưng hạch bạch huyết,đau đầu
thủy đậu,nổi mụt trên cơ thể,sưng hạch bạch huyết,đau đầu,chán ăn
thủy đậu,nổi mụt trên cơ thể,sưng hạch bạch huyết,chán ăn,đau đầu
thủy đậu,mệt mỏi,chán ăn,sưng hạch bạch huyết,nổi mụt trên cơ thể
thủy đậu,mệt mỏi,chán ăn,nổi mụt trên cơ thể,sưng hạch bạch huyết
thủy đậu,mệt mỏi,sưng hạch bạch huyết,chán ăn,nổi mụt trên cơ thể
thủy đậu,mệt mỏi,sưng hạch bạch huyết,nổi mụt trên cơ thể,chán ăn
thủy đậu,mệt mỏi,nổi mụt trên cơ thể,chán ăn,sưng hạch bạch huyết
thủy đậu,mệt mỏi,nổi mụt trên cơ thể,sưng hạch bạch huyết,chán ăn
thủy đậu,chán ăn,mệt mỏi,sưng hạch bạch huyết,nổi mụt trên cơ thể
thủy đậu,chán ăn,mệt mỏi,nổi mụt trên cơ thể,sưng hạch bạch huyết
thủy đậu,chán ăn,sưng hạch bạch huyết,mệt mỏi,nổi mụt trên cơ thể
thủy đậu,chán ăn,sưng hạch bạch huyết,nổi mụt trên cơ thể,mệt mỏi
thủy đậu,chán ăn,nổi mụt trên cơ thể,mệt mỏi,sưng hạch bạch huyết
thủy đậu,chán ăn,nổi mụt trên cơ thể,sưng hạch bạch huyết,mệt mỏi
thủy đậu,sưng hạch bạch huyết,mệt mỏi,chán ăn,nổi mụt trên cơ thể
thủy đậu,sưng hạch bạch huyết,mệt mỏi,nổi mụt trên cơ thể,chán ăn
thủy đậu,sưng hạch bạch huyết,chán ăn,mệt mỏi,nổi mụt trên cơ thể
thủy đậu,sưng hạch bạch huyết,chán ăn,nổi mụt trên cơ thể,mệt mỏi
thủy đậu,sưng hạch bạch huyết,nổi mụt trên cơ thể,mệt mỏi,chán ăn
thủy đậu,sưng hạch bạch huyết,nổi mụt trên cơ thể,chán ăn,mệt mỏi
thủy đậu,nổi mụt trên cơ thể,mệt mỏi,chán ăn,sưng hạch bạch huyết
thủy đậu,nổi mụt trên cơ thể,mệt mỏi,sưng hạch bạch huyết,chán ăn
thủy đậu,nổi mụt trên cơ thể,chán ăn,mệt mỏi,sưng hạch bạch huyết
thủy đậu,nổi mụt trên cơ thể,chán ăn,sưng hạch bạch huyết,mệt mỏi
thủy đậu,nổi mụt trên cơ thể,sưng hạch bạch huyết,mệt mỏi,chán ăn
thủy đậu,nổi mụt trên cơ thể,sưng hạch bạch huyết,chán ăn,mệt mỏi
sốt xuất huyết,đau đầu,phát ban,đau cơ,buồn nôn
sốt xuất huyết,đau đầu,phát ban,buồn nôn,đau cơ
sốt xuất huyết,đau đầu,đau cơ,phát ban,buồn nôn
sốt xuất huyết,đau đầu,đau cơ,buồn nôn,phát ban
sốt xuất huyết,đau đầu,buồn nôn,phát ban,đau cơ
sốt xuất huyết,đau đầu,buồn nôn,đau cơ,phát ban
sốt xuất huyết,phát ban,đau đầu,đau cơ,buồn nôn
sốt xuất huyết,phát ban,đau đầu,buồn nôn,đau cơ
sốt xuất huyết,phát ban,đau cơ,đau đầu,buồn nôn
sốt xuất huyết,phát ban,đau cơ,buồn nôn,đau đầu
sốt xuất huyết,phát ban,buồn nôn,đau đầu,đau cơ
sốt xuất huyết,phát ban,buồn nôn,đau cơ,đau đầu
sốt xuất huyết,đau cơ,đau đầu,phát ban,buồn nôn
sốt xuất huyết,đau cơ,đau đầu,buồn nôn,phát ban
sốt xuất huyết,đau cơ,phát ban,đau đầu,buồn nôn
sốt xuất huyết,đau cơ,phát ban,buồn nôn,đau đầu
sốt xuất huyết,đau cơ,buồn nôn,đau đầu,phát ban
sốt xuất huyết,đau cơ,buồn nôn,phát ban,đau đầu
sốt xuất huyết,buồn nôn,đau đầu,phát ban,đau cơ
sốt xuất huyết,buồn nôn,đau đầu,đau cơ,phát ban
sốt xuất huyết,buồn nôn,phát ban,đau đầu,đau cơ
sốt xuất huyết,buồn nôn,phát ban,đau cơ,đau đầu
sốt xuất huyết,buồn nôn,đau cơ,đau đầu,phát ban
sốt xuất huyết,buồn nôn,đau cơ,phát ban,đau đầu
sốt xuất huyết,mệt mỏi,phát ban,đau cơ,buồn nôn
sốt xuất huyết,mệt mỏi,phát ban,buồn nôn,đau cơ
sốt xuất huyết,mệt mỏi,đau cơ,phát ban,buồn nôn
sốt xuất huyết,mệt mỏi,đau cơ,buồn nôn,phát ban
sốt xuất huyết,mệt mỏi,buồn nôn,phát ban,đau cơ
sốt xuất huyết,mệt mỏi,buồn nôn,đau cơ,phát ban
sốt xuất huyết,phát ban,mệt mỏi,đau cơ,buồn nôn
sốt xuất huyết,phát ban,mệt mỏi,buồn nôn,đau cơ
sốt xuất huyết,phát ban,đau cơ,mệt mỏi,buồn nôn
sốt xuất huyết,phát ban,đau cơ,buồn nôn,mệt mỏi
sốt xuất huyết,phát ban,buồn nôn,mệt mỏi,đau cơ
sốt xuất huyết,phát ban,buồn nôn,đau cơ,mệt mỏi
sốt xuất huyết,đau cơ,mệt mỏi,phát ban,buồn nôn
sốt xuất huyết,đau cơ,mệt mỏi,buồn nôn,phát ban
sốt xuất huyết,đau cơ,phát ban,mệt mỏi,buồn nôn
sốt xuất huyết,đau cơ,phát ban,buồn nôn,mệt mỏi
sốt xuất huyết,đau cơ,buồn nôn,mệt mỏi,phát ban
sốt xuất huyết,đau cơ,buồn nôn,phát ban,mệt mỏi
sốt xuất huyết,buồn nôn,mệt mỏi,phát ban,đau cơ
sốt xuất huyết,buồn nôn,mệt mỏi,đau cơ,phát ban
sốt xuất huyết,buồn nôn,phát ban,mệt mỏi,đau cơ
sốt xuất huyết,buồn nôn,phát ban,đau cơ,mệt mỏi
sốt xuất huyết,buồn nôn,đau cơ,mệt mỏi,phát ban
sốt xuất huyết,buồn nôn,đau cơ,phát ban,mệt mỏi
viêm gan A hoặc viêm gan D,vàng da,vàng mắt,nước tiểu sẫm màu,ngứa
viêm gan A hoặc viêm gan D,vàng da,vàng mắt,ngứa,nước tiểu sẫm màu
viêm gan A hoặc viêm gan D,vàng da,nước tiểu sẫm màu,vàng mắt,ngứa
viêm gan A hoặc viêm gan D,vàng da,nước tiểu sẫm màu,ngứa,vàng mắt
viêm gan A hoặc viêm gan D,vàng da,ngứa,vàng mắt,nước tiểu sẫm màu
viêm gan A hoặc viêm gan D,vàng da,ngứa,nước tiểu sẫm màu,vàng mắt
viêm gan A hoặc viêm gan D,vàng mắt,vàng da,nước tiểu sẫm màu,ngứa
viêm gan A hoặc viêm gan D,vàng mắt,vàng da,ngứa,nước tiểu sẫm màu
viêm gan A hoặc viêm gan D,vàng mắt,nước tiểu sẫm màu,vàng da,ngứa
viêm gan A hoặc viêm gan D,vàng mắt,nước tiểu sẫm màu,ngứa,vàng da
viêm gan A hoặc viêm gan D,vàng mắt,ngứa,vàng da,nước tiểu sẫm màu
viêm gan A hoặc viêm gan D,vàng mắt,ngứa,nước tiểu sẫm màu,vàng da
viêm gan A hoặc viêm gan D,nước tiểu sẫm màu,vàng da,vàng mắt,ngứa
viêm gan A hoặc viêm gan D,nước tiểu sẫm màu,vàng da,ngứa,vàng mắt
viêm gan A hoặc viêm gan D,nước tiểu sẫm màu,vàng mắt,vàng da,ngứa
viêm gan A hoặc viêm gan D,nước tiểu sẫm màu,vàng mắt,ngứa,vàng da
viêm gan A hoặc viêm gan D,nước tiểu sẫm màu,ngứa,vàng da,vàng mắt
viêm gan A hoặc viêm gan D,nước tiểu sẫm màu,ngứa,vàng mắt,vàng da
viêm gan A hoặc viêm gan D,ngứa,vàng da,vàng mắt,nước tiểu sẫm màu
viêm gan A hoặc viêm gan D,ngứa,vàng da,nước tiểu sẫm màu,vàng mắt
viêm gan A hoặc viêm gan D,ngứa,vàng mắt,vàng da,nước tiểu sẫm màu
viêm gan A hoặc viêm gan D,ngứa,vàng mắt,nước tiểu sẫm màu,vàng da
viêm gan A hoặc viêm gan D,ngứa,nước tiểu sẫm màu,vàng da,vàng mắt
viêm gan A hoặc viêm gan D,ngứa,nước tiểu sẫm màu,vàng mắt,vàng da
lao,ho,đổ mồ hôi ban đêm,mệt mỏi,sút cân
lao,ho,đổ mồ hôi ban đêm,sút cân,mệt mỏi
lao,ho,mệt mỏi,đổ mồ hôi ban đêm,sút cân
lao,ho,mệt mỏi,sút cân,đổ mồ hôi ban đêm
lao,ho,sút cân,đổ mồ hôi ban đêm,mệt mỏi
lao,ho,sút cân,mệt mỏi,đổ mồ hôi ban đêm
lao,đổ mồ hôi ban đêm,ho,mệt mỏi,sút cân
lao,đổ mồ hôi ban đêm,ho,sút cân,mệt mỏi
lao,đổ mồ hôi ban đêm,mệt mỏi,ho,sút cân
lao,đổ mồ hôi ban đêm,mệt mỏi,sút cân,ho
lao,đổ mồ hôi ban đêm,sút cân,ho,mệt mỏi
lao,đổ mồ hôi ban đêm,sút cân,mệt mỏi,ho
lao,mệt mỏi,ho,đổ mồ hôi ban đêm,sút cân
lao,mệt mỏi,ho,sút cân,đổ mồ hôi ban đêm
lao,mệt mỏi,đổ mồ hôi ban đêm,ho,sút cân
lao,mệt mỏi,đổ mồ hôi ban đêm,sút cân,ho
lao,mệt mỏi,sút cân,ho,đổ mồ hôi ban đêm
lao,mệt mỏi,sút cân,đổ mồ hôi ban đêm,ho
lao,sút cân,ho,đổ mồ hôi ban đêm,mệt mỏi
lao,sút cân,ho,mệt mỏi,đổ mồ hôi ban đêm
lao,sút cân,đổ mồ hôi ban đêm,ho,mệt mỏi
lao,sút cân,đổ mồ hôi ban đêm,mệt mỏi,ho
lao,sút cân,mệt mỏi,ho,đổ mồ hôi ban đêm
lao,sút cân,mệt mỏi,đổ mồ hôi ban đêm,ho
lao,ho,đổ mồ hôi ban đêm,mệt mỏi,khó thở
lao,ho,đổ mồ hôi ban đêm,khó thở,mệt mỏi
lao,ho,mệt mỏi,đổ mồ hôi ban đêm,khó thở
lao,ho,mệt mỏi,khó thở,đổ mồ hôi ban đêm
lao,ho,khó thở,đổ mồ hôi ban đêm,mệt mỏi
lao,ho,khó thở,mệt mỏi,đổ mồ hôi ban đêm
lao,đổ mồ hôi ban đêm,ho,mệt mỏi,khó thở
cảm lạnh,ho,nghẹt mũi,đau đầu,đau họng
cảm lạnh,ho,nghẹt mũi,đau họng,đau đầu
cảm lạnh,ho,đau đầu,nghẹt mũi,đau họng
cảm lạnh,ho,đau đầu,đau họng,nghẹt mũi
cảm lạnh,ho,đau họng,nghẹt mũi,đau đầu
cảm lạnh,ho,đau họng,đau đầu,nghẹt mũi
cảm lạnh,nghẹt mũi,ho,đau đầu,đau họng
cảm lạnh,nghẹt mũi,ho,đau họng,đau đầu
cảm lạnh,nghẹt mũi,đau đầu,ho,đau họng
cảm lạnh,nghẹt mũi,đau đầu,đau họng,ho
cảm lạnh,nghẹt mũi,đau họng,ho,đau đầu
cảm lạnh,nghẹt mũi,đau họng,đau đầu,ho
cảm lạnh,đau đầu,ho,nghẹt mũi,đau họng
cảm lạnh,đau đầu,ho,đau họng,nghẹt mũi
cảm lạnh,đau đầu,nghẹt mũi,ho,đau họng
cảm lạnh,đau đầu,nghẹt mũi,đau họng,ho
cảm lạnh,đau đầu,đau họng,ho,nghẹt mũi
cảm lạnh,đau đầu,đau họng,nghẹt mũi,ho
cảm lạnh,đau họng,ho,nghẹt mũi,đau đầu
cảm lạnh,đau họng,ho,đau đầu,nghẹt mũi
cảm lạnh,đau họng,nghẹt mũi,ho,đau đầu
cảm lạnh,đau họng,nghẹt mũi,đau đầu,ho
cảm lạnh,đau họng,đau đầu,ho,nghẹt mũi
cảm lạnh,đau họng,đau đầu,nghẹt mũi,ho
viêm phổi,ho,sốt,đau ngực,buồn nôn
viêm phổi,ho,sốt,buồn nôn,đau ngực
viêm phổi,ho,đau ngực,sốt,buồn nôn
viêm phổi,ho,đau ngực,buồn nôn,sốt
viêm phổi,ho,buồn nôn,sốt,đau ngực
viêm phổi,ho,buồn nôn,đau ngực,sốt
viêm phổi,sốt,ho,đau ngực,buồn nôn
viêm phổi,sốt,ho,buồn nôn,đau ngực
viêm phổi,sốt,đau ngực,ho,buồn nôn
viêm phổi,sốt,đau ngực,buồn nôn,ho
viêm phổi,sốt,buồn nôn,ho,đau ngực
viêm phổi,sốt,buồn nôn,đau ngực,ho
viêm phổi,đau ngực,ho,sốt,buồn nôn
viêm phổi,đau ngực,ho,buồn nôn,sốt
viêm phổi,đau ngực,sốt,ho,buồn nôn
viêm phổi,đau ngực,sốt,buồn nôn,ho
viêm phổi,đau ngực,buồn nôn,ho,sốt
viêm phổi,đau ngực,buồn nôn,sốt,ho
viêm phổi,buồn nôn,ho,sốt,đau ngực
viêm phổi,buồn nôn,ho,đau ngực,sốt
viêm phổi,buồn nôn,sốt,ho,đau ngực
viêm phổi,buồn nôn,sốt,đau ngực,ho
viêm phổi,buồn nôn,đau ngực,ho,sốt
viêm phổi,buồn nôn,đau ngực,sốt,ho
trĩ,ngứa vùng hậu môn,sưng vùng hậu môn,đi đại tiện có máu,đi đại tiện có máu
trĩ,ngứa vùng hậu môn,sưng vùng hậu môn,đi đại tiện có máu,đi đại tiện có máu
trĩ,ngứa vùng hậu môn,đi đại tiện có máu,sưng vùng hậu môn,đi đại tiện có máu
trĩ,ngứa vùng hậu môn,đi đại tiện có máu,đi đại tiện có máu,sưng vùng hậu môn
trĩ,ngứa vùng hậu môn,đi đại tiện có máu,sưng vùng hậu môn,đi đại tiện có máu
trĩ,ngứa vùng hậu môn,đi đại tiện có máu,đi đại tiện có máu,sưng vùng hậu môn
trĩ,sưng vùng hậu môn,ngứa vùng hậu môn,đi đại tiện có máu,đi đại tiện có máu
trĩ,sưng vùng hậu môn,ngứa vùng hậu môn,đi đại tiện có máu,đi đại tiện có máu
trĩ,sưng vùng hậu môn,đi đại tiện có máu,ngứa vùng hậu môn,đi đại tiện có máu
trĩ,sưng vùng hậu môn,đi đại tiện có máu,đi đại tiện có máu,ngứa vùng hậu môn
trĩ,sưng vùng hậu môn,đi đại tiện có máu,ngứa vùng hậu môn,đi đại tiện có máu
trĩ,sưng vùng hậu môn,đi đại tiện có máu,đi đại tiện có máu,ngứa vùng hậu môn
trĩ,đi đại tiện có máu,ngứa vùng hậu môn,sưng vùng hậu môn,đi đại tiện có máu
trĩ,đi đại tiện có máu,ngứa vùng hậu môn,đi đại tiện có máu,sưng vùng hậu môn
trĩ,đi đại tiện có máu,sưng vùng hậu môn,ngứa vùng hậu môn,đi đại tiện có máu
trĩ,đi đại tiện có máu,sưng vùng hậu môn,đi đại tiện có máu,ngứa vùng hậu môn
trĩ,đi đại tiện có máu,đi đại tiện có máu,ngứa vùng hậu môn,sưng vùng hậu môn
trĩ,đi đại tiện có máu,đi đại tiện có máu,sưng vùng hậu môn,ngứa vùng hậu môn
trĩ,đi đại tiện có máu,ngứa vùng hậu môn,sưng vùng hậu môn,đi đại tiện có máu
trĩ,đi đại tiện có máu,ngứa vùng hậu môn,đi đại tiện có máu,sưng vùng hậu môn
trĩ,đi đại tiện có máu,sưng vùng hậu môn,ngứa vùng hậu môn,đi đại tiện có máu
trĩ,đi đại tiện có máu,sưng vùng hậu môn,đi đại tiện có máu,ngứa vùng hậu môn
trĩ,đi đại tiện có máu,đi đại tiện có máu,ngứa vùng hậu môn,sưng vùng hậu môn
trĩ,đi đại tiện có máu,đi đại tiện có máu,sưng vùng hậu môn,ngứa vùng hậu môn
covid-19,khan tiếng,sốt,ho,mệt mỏi
covid-19,khan tiếng,sốt,mệt mỏi,ho
covid-19,khan tiếng,ho,sốt,mệt mỏi
covid-19,khan tiếng,ho,mệt mỏi,sốt
covid-19,khan tiếng,mệt mỏi,sốt,ho
covid-19,khan tiếng,mệt mỏi,ho,sốt
covid-19,sốt,khan tiếng,ho,mệt mỏi
covid-19,sốt,khan tiếng,mệt mỏi,ho
covid-19,sốt,ho,khan tiếng,mệt mỏi
covid-19,sốt,ho,mệt mỏi,khan tiếng
covid-19,sốt,mệt mỏi,khan tiếng,ho
covid-19,sốt,mệt mỏi,ho,khan tiếng
covid-19,ho,khan tiếng,sốt,mệt mỏi
