disease,description
hạ đường huyết,"Hạ đường huyết là tình trạng mức đường trong máu giảm xuống dưới mức bình thường, mức độ này được xác định thông qua việc đo đường huyết (còn gọi là đo đường glucose) bằng máy đo đường huyết. Mức đường huyết bình thường trên đói ở người là từ 70 đến 100 miligam trên decilit huyết tương (mg/dL), trong khi sau khi ăn thì mức đường huyết tăng lên khoảng 140 mg/dL và sẽ trở lại mức bình thường trong vòng hai giờ.
Khi mức đường huyết giảm xuống dưới mức bình thường, cơ thể không thể cung cấp đủ năng lượng cho các tế bào để hoạt động bình thường. Điều này có thể dẫn đến các triệu chứng như chóng mặt, mệt mỏi, khó tập trung, buồn nôn, và trong trường hợp nặng hơn, có thể dẫn đến co giật hoặc ngất. Những người có nguy cơ cao bị hạ đường huyết bao gồm những người bị tiểu đường, những người đang sử dụng insulin hoặc các loại thuốc hạ đường huyết khác, những người ăn ít hoặc không ăn gì trong một thời gian dài, và những người uống rượu nhiều."
viêm mũi dị ứng,"Viêm mũi dị ứng, hay còn được gọi là dị ứng mũi, là một tình trạng viêm nhiễm mũi và xoang mũi do phản ứng quá mức của hệ miễn dịch với các chất gây dị ứng. Đây là một trong những dạng phổ biến nhất của dị ứng và thường gặp trong mùa xuân và mùa hè.
Các chất gây dị ứng, gọi là allergen, có thể bao gồm phấn hoa, bụi nhà, phấn mèo, phấn chó, nấm mốc và một số chất hóa học. Khi người bị viêm mũi dị ứng tiếp xúc với các allergen này, hệ miễn dịch phản ứng bằng cách sản xuất histamine và các chất gây viêm khác"
tiểu đường,"Tiểu đường (hay còn gọi là bệnh đái tháo đường) là một tình trạng lý sinh xảy ra khi mức đường glucose trong máu tăng cao hơn mức bình thường. Đường glucose là nguồn năng lượng chính của cơ thể, và được sản xuất thông qua quá trình tiêu hóa thực phẩm. Bệnh tiểu đường xảy ra khi cơ thể không thể sản xuất đủ hoặc sử dụng đường glucose một cách hiệu quả.
Có hai loại tiểu đường: tiểu đường loại 1 và tiểu đường loại 2. Tiểu đường loại 1 thường bắt đầu ở tuổi trẻ và thiếu niên và được coi là do miễn dịch tự phá huỷ tế bào beta trong tổng thể Langerhans tại tuyến tụy, dẫn đến thiếu insulin. Trong khi đó, tiểu đường loại 2 thường xuất hiện ở người lớn, và được coi là do sự kháng insulin hoặc khả năng tiết insulin của tuyến tụy giảm dần và không đủ để điều chỉnh đường glucose trong máu."
chốc,"Bệnh chốc (impetigo) là một nhiễm khuẩn nông thường gặp ở da, đặc trưng bởi mụn nước, bọng nước hóa mủ nhanh, sau đó dập vỡ để lại các vết trợt nông và đóng vảy tiết màu mật ong. Thuật ngữ chốc hóa (impetiginisation) được dùng để chỉ các nhiễm trùng nông thứ phát của một vết thương hoặc một tình trạng da nhất định. Khi thương tổn loét sâu được gọi là chốc loét."
cao huyết áp,"Cao huyết áp (hay còn gọi là bệnh tăng huyết áp) là tình trạng mức huyết áp trong mạch động mạch tăng cao hơn mức bình thường. Huyết áp là lực mà máu đẩy ngược từ tim ra các động mạch và là một chỉ số quan trọng để đánh giá sức khỏe của tim mạch và mạch máu. Mức huyết áp bình thường là dưới 120/80 mmHg, với 120 là huyết áp tâm thu (systolic blood pressure), 80 là huyết áp tâm trương (diastolic blood pressure).
Khi huyết áp tăng cao, tim phải làm việc nặng hơn để đẩy máu thông qua các động mạch, và điều này có thể gây tổn thương cho tim mạch và mạch máu. Cao huyết áp có thể gây ra các biến chứng như bệnh tim, tai biến, suy thận, và bệnh mạch vành.
Nguyên nhân của cao huyết áp không rõ ràng, nhưng được cho là do một số yếu tố như di truyền, tuổi tác, chế độ ăn uống không lành mạnh, thiếu vận động, tiền sử béo phì, stress, tiểu đường và tăng cholesterol trong máu."
viêm loét dạ dày tá tràng,"Loét dạ dày tá tràng (hay còn gọi là viêm loét dạ dày tá tràng) là một tình trạng viêm nhiễm ở niêm mạc của dạ dày hoặc tá tràng. Loét dạ dày và tá tràng thường được coi là hai bệnh lý riêng biệt, nhưng thực tế chúng thường xuất hiện cùng nhau, do đó được gọi chung là loét dạ dày tá tràng.
Các triệu chứng của loét dạ dày tá tràng bao gồm đau bụng, buồn nôn, ợ chua, tiêu chảy, khó tiêu, và tràn dịch trong dạ dày. Nếu không điều trị kịp thời, loét dạ dày tá tràng có thể dẫn đến các biến chứng nghiêm trọng như chảy máu trong đường tiêu hóa, tổn thương phần còn lại của hệ tiêu hóa hoặc nhiễm trùng.
Nguyên nhân của loét dạ dày tá tràng chủ yếu là do vi khuẩn Helicobacter pylori và thuốc kháng sinh thường được sử dụng để điều trị bệnh này. Tuy nhiên, stress, thuốc lá và sử dụng rượu cũng có thể góp phần vào việc hình thành loét dạ dày tá tràng."
trĩ,"Trĩ (hay còn gọi là bệnh trĩ) là tình trạng một hoặc nhiều vùng tĩnh mạch hậu môn bị phồng lên và viêm nhiễm. Trĩ thường xuất hiện ở người trưởng thành, đặc biệt là phụ nữ sau khi sinh.
Các triệu chứng của trĩ bao gồm đau, ngứa, khó chịu, sưng ở khu vực hậu môn, khó đi tiêu, ra máu khi đi tiêu, và cảm giác sống ở hậu môn. Nếu không được điều trị kịp thời, trĩ có thể dẫn đến các biến chứng nghiêm trọng như tổn thương niêm mạc hậu môn, nhiễm trùng và nhưng trường hợp nặng có thể dẫn đến ung thư.
Nguyên nhân của trĩ chủ yếu là do áp lực quá lớn lên vùng hậu môn và chậu, thường xảy ra do táo bón, ngồi lâu hoặc thường xuyên nặn khi đi tiêu. Ngoài ra, việc mang thai và sinh cũng có thể góp phần vào việc hình thành trĩ."
cảm lạnh,"Cảm lạnh thông thường (hay còn gọi là cảm cúm) là một bệnh truyền nhiễm do virus gây ra và ảnh hưởng đến đường hô hấp, bao gồm cả mũi, họng, phổi và xoang mũi. Cảm lạnh thông thường có thể xuất hiện trong bất kỳ thời điểm nào trong năm, nhưng thường xảy ra vào mùa đông hoặc xuân.
Các triệu chứng của cảm lạnh thông thường bao gồm đau đầu, đau họng, sổ mũi, khó thở, khó nuốt, ho, viêm mũi, và đau cơ. Các triệu chứng này thường xuất hiện sau 1-3 ngày kể từ khi tiếp xúc với virus, và kéo dài từ 7-10 ngày.
Nguyên nhân của cảm lạnh thông thường là do virus lây lan qua tiếp xúc với đường hô hấp, nhưng cũng có thể do tăng cường miễn dịch yếu, thiếu ngủ, stress hay thay đổi thời tiết."
thủy đậu,"Thủy đậu (hay còn gọi là bệnh water pox/chicken pox/pox) là một bệnh truyền nhiễm do virus Varicella-Zoster (VZV) gây ra. Nó là một trong những bệnh lây lan rộng nhất ở trẻ em và thường được xem là một căn bệnh nhẹ, nhưng nó có thể dẫn đến các biến chứng nguy hiểm đặc biệt đối với những người có hệ miễn dịch yếu.
Các triệu chứng của chickenpox bao gồm phát ban da toàn thân (bao gồm cả khuôn mặt, cơ thể và niêm mạc), sốt, mệt mỏi, đau đầu và viêm họng. Ban đầu, các phát ban xuất hiện dưới dạng mụn nhỏ và sau đó chuyển thành phồng rộp và cuối cùng là vẩy, kéo dài từ 5 đến 10 ngày. Người bệnh cũng có thể bị đau và ngứa trên da hoặc có các triệu chứng khác như đau âm ỉ và đau cơ.
Thủy đậu thường lây lan qua giọt bắn từ người nhiễm bệnh hoặc qua tiếp xúc trực tiếp với các chất bẩn lây nhiễm này. Việc điều trị chickenpox bao gồm giảm đau, hạ sốt và giảm ngứa với thuốc giảm đau và thuốc kháng histamine, đồng thời giữ cho vùng da bị phát ban luôn sạch sẽ và khô ráo. Bệnh nhân cần nghỉ ngơi và hạn chế tiếp xúc với người khác để tránh lây lan.
Việc tiêm vaccine VZV là phương pháp phòng ngừa hiệu quả nhất để ngăn ngừa bệnh chickenpox và các biến chứng liên quan."
thoái hóa đốt sống cổ,"Thoái hóa đốt sống cổ (còn được gọi là thoái hóa cột cổ) là một tình trạng bình thường và tự nhiên của quá trình lão hóa, làm cho đốt sống cổ giảm khả năng di chuyển và bị ảnh hưởng trong các hoạt động hàng ngày. Nó là một tình trạng rất phổ biến ở người trưởng thành và người cao tuổi.
Các triệu chứng của thoái hóa đốt sống cổ bao gồm sự giảm độ linh hoạt, đau và cứng cổ khi vận động, đau đầu, đau vai, và ngực. Các triệu chứng có thể nặng hoặc nhẹ tùy thuộc vào mức độ thoái hóa và sự ảnh hưởng của nó đến khu vực xung quanh.
Nguyên nhân của thoái hóa đốt sống cổ là do sự mòn của xương và sụn trong cột sống cổ theo thời gian. Những người có nguy cơ cao bị thoái hóa đốt sống cổ bao gồm những người đã từng bị chấn thương cổ, những người có công việc yêu cầu chiếc cổ liên tục như lái xe hoặc làm việc trên máy tính trong một khoảng thời gian dài, những người không vận động đủ hoặc có chế độ ăn uống không tốt."
cường giáp,"Cường giáp (hay còn gọi là bướu giáp) là một tình trạng sức khỏe do tuyến giáp sản xuất quá nhiều hormone giáp, trong đó hormone T4 và T3 được tăng sản xuất. Cường giáp thường xảy ra ở phụ nữ và người cao tuổi.
Các triệu chứng của cường giáp bao gồm: sự mệt mỏi, giảm cân không rõ nguyên nhân, tăng cân, khô da, rụng tóc, mất tóc, táo bón, co giật, các vấn đề về tim mạch như nhịp tim nhanh hoặc lành mạnh, và kích thích tâm lý. Người bệnh cũng có thể có một khối u trên hoặc xung quanh tuyến giáp.
Nguyên nhân của cường giáp thường liên quan đến các vấn đề bất thường với miễn dịch hoặc các rối loạn chức năng của tuyến giáp. Các yếu tố nguy cơ bao gồm tiền sử gia đình, giới tính nữ, tuổi trên 60 và các vấn đề về tuyến giáp khác."
nhiễm trùng đường tiết niệu,"Nhiễm trùng đường tiết niệu (UTI) là một bệnh nhiễm trùng xảy ra khi vi khuẩn xâm nhập vào hệ thống đường tiết niệu, gồm bàng quang, ống tiểu và thậm chí cả thận. UTI thường xảy ra ở phụ nữ hơn là nam giới.
Các triệu chứng của UTI có thể bao gồm: tiểu buốt, tiểu ít, tiểu nhiều lần trong ngày, cảm giác đau hoặc rát khi đi tiểu, đau bụng dưới hay đau lưng, sốt, ợ nóng và đau đầu. Tùy thuộc vào vị trí của nhiễm trùng trong hệ thống đường tiết niệu, các triệu chứng có thể khác nhau.
Nguyên nhân của UTI thường liên quan đến vi khuẩn được đưa vào hệ thống đường tiết niệu, thông thường là do vi khuẩn E.coli. Các yếu tố nguy cơ bao gồm giới tính nữ, tuổi cao, sử dụng bình xịt trực tiếp vào khu vực âm đạo, động kinh tiểu phải, các thiết bị y tế được sử dụng cho đường tiết niệu, và sử dụng các chất cản trở lưu thông tiểu tiết."
giãn tĩnh mạch,"Giãn tĩnh mạch là một tình trạng sức khỏe mà các tĩnh mạch trong cơ thể trở nên lỏng lẻo, giãn ra và không hoạt động hiệu quả. Điều này có thể xảy ra ở bất kỳ vùng nào của cơ thể, nhưng thường ảnh hưởng đến chân và chân dưới.
Các triệu chứng của giãn tĩnh mạch bao gồm: chân phù, chân mỏi, đau và chuột rút, ngứa, da khô và nứt nẻ, và thậm chí là loét ở da. Các triệu chứng thường tồi tệ hơn vào cuối ngày hoặc sau khi đã đi lại hoặc đứng một thời gian dài.
Nguyên nhân của giãn tĩnh mạch có thể liên quan đến yếu tố di truyền hoặc áp lực hoặc stress lâu dài lên các tĩnh mạch. Các yếu tố nguy cơ bao gồm tuổi cao, giới tính nữ, tiền sử bệnh lý liên quan đến tĩnh mạch và thói quen sống không lành mạnh."
AIDS,"AIDS là viết tắt của ""Acquired Immunodeficiency Syndrome"" trong tiếng Anh, có nghĩa là ""Hội chứng suy giảm miễn dịch đặc trưng"". AIDS là một bệnh lây nhiễm do virus HIV (human immunodeficiency virus) gây ra.
Virus HIV tấn công các tế bào miễn dịch và phá hủy chúng, làm cho cơ thể của người bệnh trở nên yếu hơn trong việc chống lại các bệnh tật và nhiễm trùng khác. Các triệu chứng của AIDS bao gồm: mệt mỏi, sốt, đau đầu, đau cơ, đau họng, chảy máu dưới da hoặc từ niêm mạc, giảm cân không rõ nguyên nhân và nhiễm khuẩn.
Nguyên nhân chính của AIDS là nhiễm virus HIV. Virus này được truyền qua tiếp xúc với máu, tình dục, hoặc từ mẹ sang con trong quá trình sinh hoặc cho con bú. Người nhiễm HIV có thể không biết mình mang virus khi mới bị nhiễm, nhưng sau đó sẽ phát triển thành AIDS trong khoảng 10 - 15 năm nếu không được điều trị.
Hiện tại, chưa có phương pháp nào để chữa trị hoàn toàn AIDS. Tuy nhiên, điều trị bằng thuốc ARV (antiretroviral therapy) có thể giúp kiểm soát và ngăn chặn sự phát triển của virus HIV trong cơ thể, từ đó giảm thiểu các triệu chứng của bệnh và tăng tuổi thọ của bệnh nhân. Ngoài ra, việc sử dụng bảo vệ khi quan hệ tình dục là một trong những biện pháp hiệu quả để ngăn ngừa sự lây lan của virus HIV."
tê liệt (xuất huyết não),"Tê liệt xuất huyết não là một bệnh lý về hệ thống thần kinh gây ra bởi sự xuất huyết trong não hoặc áp lực do dịch bị tích tụ trong bộ não. Bệnh này có thể gây tê liệt toàn thân hoặc chỉ tê liệt một bên cơ thể và ảnh hưởng đến khả năng di chuyển và chức năng thần kinh của người bệnh.
Các triệu chứng của tê liệt xuất huyết não có thể bao gồm: đau đầu, buồn nôn, nôn mửa, co giật, nhức đầu, mất cân bằng, tình trạng tê hoặc suy giảm cảm giác, và tê liệt. Các triệu chứng này có thể phát triển từ từ hoặc đột ngột và đôi khi có thể rất nghiêm trọng.
Nguyên nhân của tê liệt xuất huyết não thường liên quan đến các vấn đề máu như đột quỵ, chấn thương đầu, hoặc ruột thừa nổ. Tuy nhiên, nguyên nhân chính của bệnh vẫn chưa được xác định rõ ràng."
thương hàn,"Thương hàn là một bệnh lây nhiễm do vi khuẩn Bartonella quintana gây ra, thường được truyền từ người sang người qua côn trùng như bọ chét. Bệnh này có các triệu chứng tương tự như cảm cúm và sốt rét, với các triệu chứng bao gồm: sốt, đau đầu, đau cơ, mệt mỏi, đau khớp và sưng bầm ở chân. Thương hàn có thể gây ra các biến chứng nguy hiểm như nhiễm trùng máu và hoại tử các mô.
Nguyên nhân của thương hàn liên quan đến sự tiếp xúc với bọ chét, loài côn trùng hay sống trong dơi hoặc các động vật khác, thông thường sống ở nơi không vệ sinh hoặc thiếu điều kiện vệ sinh chặt chẽ. Ngoài ra, người có tình trạng miễn dịch suy giảm cũng có nguy cơ mắc bệnh cao hơn."
viêm gan B,"Viêm gan B là một bệnh lây nhiễm do virus viêm gan B (HBV) tấn công gan, gây ra sự viêm và tổn thương của các tế bào gan. HBV được truyền từ người sang người thông qua tiếp xúc với máu hoặc các chất khác như dịch cơ thể và dịch tiết sinh dục của người bị nhiễm.
Các triệu chứng của viêm gan B có thể rất đa dạng hoặc không có triệu chứng nào. Các triệu chứng thường xuất hiện sau khi đã mắc bệnh trong một thời gian dài, bao gồm: mệt mỏi, sốt, đau đầu, đau khớp, buồn nôn, mất cảm giác ăn uống, và đau phần trên bên phải của bụng. Trong một số trường hợp, bệnh có thể dẫn đến biến chứng nghiêm trọng như ung thư gan hoặc xơ gan.
Nguyên nhân chính của viêm gan B là virus HBV. Nó được truyền từ người sang người qua tiếp xúc trực tiếp với máu hoặc các chất khác như dịch cơ thể và dịch tiết sinh dục của người bị nhiễm. Các yếu tố nguy cơ bao gồm: quan hệ tình dục không an toàn, sử dụng chung vật dụng cá nhân như lưỡi cạo râu, kim tiêm và các dụng cụ y tế không được khử trùng đúng cách."
nhiễm trùng nấm,"Nhiễm nấm là một bệnh lây nhiễm do nấm gây ra. Nấm là loại vi sinh vật sống trên da, tóc và móng của con người và động vật, nhưng khi điều kiện ẩm ướt và ấm áp hoặc hệ miễn dịch của cơ thể yếu, chúng có thể phát triển quá mức và gây ra các triệu chứng khó chịu.
Các triệu chứng của nhiễm nấm thường bao gồm: da bong tróc hay bị nứt, sưng tấy, đau rát và ngứa, màu da thay đổi, và có thể xuất hiện các vết bầm tím hoặc sần sùi. Các triệu chứng này có thể phát triển từ từ hoặc đột ngột và ảnh hưởng đến vùng da hoặc niêm mạc của cơ thể.
Nguyên nhân của nhiễm nấm liên quan đến sự tiếp xúc với nấm, thông thường trong môi trường ẩm ướt hoặc không khí ẩm ướt. Người có hệ miễn dịch suy giảm, tiếp xúc với nhiều động vật hoặc sống ở môi trường ẩm ướt cũng có nguy cơ cao hơn để mắc bệnh."
viêm gan C,"Viêm gan C là một bệnh lây nhiễm do virus viêm gan C (HCV) tấn công gan và gây ra sự viêm và tổn thương của các tế bào gan. Bệnh này có thể dẫn đến các biến chứng nghiêm trọng như xơ gan, ung thư gan và suy gan.
Các triệu chứng của viêm gan C thường không rõ ràng trong giai đoạn đầu, và có thể kéo dài trong nhiều năm hoặc thậm chí trong thập kỷ mà không bị phát hiện. Sau khi bệnh phát triển, người bệnh có thể có các triệu chứng như: mệt mỏi, buồn nôn, đau bụng, mất cảm giác ăn uống, đau khớp, và sưng gan. Tuy nhiên, đa số người bệnh không có triệu chứng cho tới khi bệnh đã tiến triển đến giai đoạn nghiêm trọng.
Nguyên nhân của viêm gan C liên quan đến vi rút HCV được truyền từ người sang người thông qua tiếp xúc với máu hoặc các chất khác như dịch cơ thể của người bị nhiễm. Các yếu tố nguy cơ bao gồm: tiếp xúc với máu qua đường tiêm chích, sử dụng các dụng cụ y tế không được khử trùng đúng cách và quan hệ tình dục không an toàn."
đau nửa đầu,"Đau nửa đầu là một loại đau đầu thường xuyên xảy ra ở một nửa đầu hoặc cả hai bên. Chứng đau nửa đầu có thể gây đau nhói dữ dội hoặc cảm giác đập, thường là ở một bên đầu. Nó thường đi kèm với buồn nôn, nôn mửa và cực kỳ nhạy cảm với ánh sáng và âm thanh. Các cơn đau nửa đầu có thể kéo dài hàng giờ đến nhiều ngày, và cơn đau có thể nghiêm trọng đến mức nó cản trở các hoạt động hàng ngày của bạn.
Nguyên nhân của đau nửa đầu có thể do nhiều yếu tố khác nhau như: căng thẳng, stress, thiếu ngủ, sốt cao, viêm xoang, chấn thương đầu và các bệnh lý khác như đau đầu kinh niên, migraine, áp lực mạch máu. Một số yếu tố khác bao gồm: hút thuốc và uống rượu quá mức, uống thuốc thái quá nhiều, tiếp xúc với các chất kích thích như caffein, trầm cảm, lo âu và stress."
hen phế quản,"Hen phế quản là một bệnh lý đường hô hấp mạn tính, ảnh hưởng đến sự thoải mái của đường thở. Bệnh này được xem như là một dạng viêm khí quản cấp tính và thường xuất hiện khi các đường hơi thở trở nên hẹp hơn thông thường, gây ra khó khăn trong việc hít thở và thở ra.
Các triệu chứng của hen phế quản có thể bao gồm: ho khan kéo dài, khó thở, ngực căng thẳng, tiếng rít khi thở, đau ngực và khó thở khi vận động. Các triệu chứng này có thể kéo dài trong một khoảng thời gian dài và có thể trở nên nặng hơn trong mùa đông hoặc khi tiếp xúc với các tác nhân gây dị ứng.
Nguyên nhân của hen phế quản liên quan đến một sự phản ứng dị ứng của đường hô hấp khi tiếp xúc với các tác nhân như bụi, hóa chất, ô nhiễm không khí, thuốc lá, hoặc khi bệnh nhân bị nhiễm trùng đường hô hấp. Các yếu tố di truyền và môi trường như khói thuốc lá trong gia đình cũng có thể đóng vai trò trong việc phát triển bệnh."
viêm gan do rượu,"Viêm gan do rượu (Alcoholic hepatitis) là một loại viêm gan được gây ra bởi việc tiêu thụ lượng rượu lớn trong một thời gian dài. Bệnh này là kết quả của các tác nhân độc hại trong rượu và các chất bổ sung trong quá trình chuyển hóa rượu trong gan.
Viêm gan do rượu có thể là một bệnh nhẹ hoặc nặng, phụ thuộc vào mức độ sử dụng rượu và thời gian sử dụng rượu. Triệu chứng của viêm gan do rượu bao gồm đau bụng, mệt mỏi, mất cảm giác, suy giảm cân nặng, và da và mắt bị vàng."
vàng da,"Vàng da (Jaundice) là một triệu chứng phổ biến trong đó da, bồn chồn và các mô mềm khác trong cơ thể trở nên màu vàng do sự tích tụ của chất bilirubin trong máu. Bilirubin là một chất thải được tạo ra khi gan phân hủy các tế bào máu cũ và được tiết ra qua mật ra ngoài cơ thể.
Các nguyên nhân của vàng da có thể bao gồm nhiễm trùng, bệnh gan, tắc đường mật, các bệnh lý liên quan đến sản xuất hoặc giải phóng bilirubin như thiếu máu bẩm sinh, và sử dụng một số loại thuốc. Triệu chứng của vàng da bao gồm da và mắt có màu vàng, mệt mỏi, khó chịu, vàng da và nước tiểu đậm màu."
