disease,precaution_1,precaution_2,precaution_3,precaution_4
đau mắt đỏ,giữ gìn vệ sinh mắt và vệ sinh cá nhân,có chế độ ăn uống cung cấp đầy đủ chất dinh dưỡng,"sử dụng kính chắn bụi, gió khi ra đường",thường xuyên mở cửa thông gió và luôn giữ gìn vệ sinh nhà cửa sạch sẽ
viêm nướu,đánh răng ít nhất hai lần mỗi ngày,sử dụng nước súc miệng sát khuẩn theo khuyến cáo của bác sĩ,massage nướu răng nhẹ nhàng,khuyến khích sử dụng chỉ nha khoa để làm sạch các mảng bám thức ăn trên kẽ răng
sâu răng,trám răng,nhổ răng,chữa tủy răng,điều trị bằng florua
viêm ống tai ngoài,làm sạch ống tai,điều trị bằng kháng sinh theo hướng dẫn của bác sĩ,làm khô ống tai,không nên lạm dụng bông tai
sùi mào gà,tiêm vaccine HPV,kiểm tra sức khỏe định kỳ,sinh hoạt tình dục lành mạnh,bỏ các thói quen xấu
sỏi thận,điều trị nội khoa,điều trị ngoại khoa,điều trị dự phòng,ăn uống lành mạnh
thoát vị đĩa đệm,dùng các loại thuốc cải thiện triệu chứng theo hướng dẫn của bác sĩ,thực hiện các biện pháp vật lý trị liệu,phẫu thuật nếu bệnh tiến triển nặng,tập thể dục
suy thận,điều trị nội khoa,lọc máu nhân tạo,thẩm phân phúc mạc,cấy ghép thận
viêm kết mạc,rửa tay thường xuyên và hạn chế dùng tay chạm vào mắt,"sử dụng khăn mặt, vật dụng cá nhân riêng trong nhà và nơi học tập làm việc",không dùng mỹ phẩm mắt ,"tăng cường bổ sung vitamin A, C, E,..."
viêm xoang,điều trị nội khoa,điều trị phẫu thuật nếu điều trị nội khoa không hiệu quả,giữ vệ sinh mũi họng,hạn chế tiếp xúc với nguồn nhiễm khuẩn
vảy nến,sử dụng các loại thuốc mỡ theo hướng dẫn của bác sĩ,dùng các loại thuốc ức chế miễn dịch theo chỉ định của bác sĩ,thực hiện quang sinh thiết nếu tình trạng bệnh nghiêm trọng,ăn uống lành mạnh
thiếu máu lên não,"sử dụng những loại thực phẩm lành mạnh, giàu sắt, omega-3",tập thể dục thường xuyên,"nghỉ ngơi, hạn chế căng thẳng",khám định kỳ thường xuyên
thoái hóa khớp,sử dụng các loại thuốc theo chỉ dẫn của bác sĩ,khám định kỳ thường xuyên,sống lành mạnh,tiêm phòng
đau vai gáy,thực hành tư thế đúng,tập thể dục,tránh các hoạt động gây căng thẳng cho vùng cổ vai gáy,nghỉ ngơi thư giãn
thoái hóa đốt sống lưng,"bổ sung những thực phẩm giàu vitamin C, D và canxi",thực hiện những bài tập chữa thoái hóa đôt sống,tập thể dục,khám định kỳ thường xuyên
uốn ván,làm sạch vết thương,tiêm vaccine miễn dịch uốn ván,sử dụng thuốc theo chỉ định của bác sĩ,giữ gìn vệ sinh sạch sẽ
viêm tai giữa,sử dụng các loại thuốc theo chỉ định của bác sĩ,giữ gìn vệ sinh tai,nghỉ ngơi,nếu bệnh nặng thì nên làm phẫu thuật
tăng nhãn áp,đi khám mắt thường xuyên,tránh các nguồn sáng mạnh đến mắt,nhỏ thuốc nhỏ mắt thường xuyên,đeo kính bảo vệ mắt
quai bị,"dùng các thuốc hạ sốt, giảm đau để giảm nhẹ các triệu chứng",uống nhiều nước,"hạn chế các loại thực phẩm cứng, các thức ăn nhiều gia vị, cay nóng hoặc có tính acid",nghỉ ngơi
